component_1_original_name,component_1_formula,smiles1,component_2_original_name,component_2_formula,smiles2,component_3_original_name,component_3_formula,smiles3,quality_check_1,quality_check_2,pressure_mmhg,temperature_c,x1,x2,y1,y2,doi,original_excel_row,quarantine_reason
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,80.257,46.85,0.6802,0.003,0.7989,0.0216,10.1016/j.fluid.2009.01.016,1022,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,71.106,46.85,0.4391,0.0073,0.6225,0.0639,10.1016/j.fluid.2009.01.016,1023,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,87.157,46.85,0.6958,0.0135,0.7505,0.0969,10.1016/j.fluid.2009.01.016,1024,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,104.334,46.85,0.6782,0.0437,0.6271,0.2452,10.1016/j.fluid.2009.01.016,1025,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,97.358,46.85,0.4186,0.0554,0.4654,0.2866,10.1016/j.fluid.2009.01.016,1026,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,151.662,46.85,0.6234,0.1286,0.4442,0.4647,10.1016/j.fluid.2009.01.016,1027,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,146.712,46.85,0.2914,0.1532,0.2485,0.5564,10.1016/j.fluid.2009.01.016,1028,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,192.766,46.85,0.5703,0.2073,0.3115,0.6271,10.1016/j.fluid.2009.01.016,1029,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,202.367,46.85,0.2644,0.253,0.1592,0.7208,10.1016/j.fluid.2009.01.016,1030,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,218.943,46.85,0.5343,0.2588,0.2586,0.6908,10.1016/j.fluid.2009.01.016,1031,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,263.347,46.85,0.2306,0.3602,0.0929,0.8425,10.1016/j.fluid.2009.01.016,1032,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,278.123,46.85,0.4531,0.3763,0.1635,0.8063,10.1016/j.fluid.2009.01.016,1033,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,323.652,46.85,0.3901,0.4638,0.1266,0.8502,10.1016/j.fluid.2009.01.016,1034,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,317.426,46.85,0.1953,0.4661,0.0656,0.8884,10.1016/j.fluid.2009.01.016,1035,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,126.535,56.85,0.7026,0.0024,0.7978,0.013,10.1016/j.fluid.2009.01.016,1036,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,126.61,56.85,0.6801,0.004,0.7777,0.0272,10.1016/j.fluid.2009.01.016,1037,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,133.961,56.85,0.6985,0.0128,0.7468,0.0845,10.1016/j.fluid.2009.01.016,1038,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,119.335,56.85,0.4468,0.0146,0.5704,0.1063,10.1016/j.fluid.2009.01.016,1039,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,126.31,56.85,0.4433,0.0238,0.5347,0.1624,10.1016/j.fluid.2009.01.016,1040,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,158.188,56.85,0.6859,0.0382,0.6371,0.2228,10.1016/j.fluid.2009.01.016,1041,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,137.861,56.85,0.4313,0.0397,0.4764,0.2505,10.1016/j.fluid.2009.01.016,1042,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,157.588,56.85,0.4206,0.0652,0.4101,0.3542,10.1016/j.fluid.2009.01.016,1043,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,165.464,56.85,0.3204,0.0836,0.3178,0.4133,10.1016/j.fluid.2009.01.016,1044,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,174.914,56.85,0.31,0.1022,0.2927,0.4531,10.1016/j.fluid.2009.01.016,1045,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,217.743,56.85,0.6294,0.122,0.4153,0.4957,10.1016/j.fluid.2009.01.016,1046,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,214.293,56.85,0.2953,0.1525,0.2306,0.5695,10.1016/j.fluid.2009.01.016,1047,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,281.573,56.85,0.5693,0.21,0.3052,0.6295,10.1016/j.fluid.2009.01.016,1048,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,293.724,56.85,0.2657,0.2563,0.1431,0.7405,10.1016/j.fluid.2009.01.016,1049,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,352.979,56.85,0.5,0.3106,0.2102,0.7467,10.1016/j.fluid.2009.01.016,1050,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,384.557,56.85,0.2286,0.3673,0.095,0.8283,10.1016/j.fluid.2009.01.016,1051,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,400.458,56.85,0.452,0.3779,0.1695,0.796,10.1016/j.fluid.2009.01.016,1052,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,445.087,56.85,0.1972,0.4604,0.0709,0.8719,10.1016/j.fluid.2009.01.016,1053,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,465.488,56.85,0.3865,0.4691,0.1258,0.849,10.1016/j.fluid.2009.01.016,1054,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,191.041,66.85,0.7082,0.0026,0.7894,0.0183,10.1016/j.fluid.2009.01.016,1055,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,191.791,66.85,0.683,0.0045,0.7612,0.0279,10.1016/j.fluid.2009.01.016,1056,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,202.442,66.85,0.7027,0.0147,0.7328,0.0881,10.1016/j.fluid.2009.01.016,1057,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,184.44,66.85,0.4514,0.0162,0.5464,0.1104,10.1016/j.fluid.2009.01.016,1058,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,194.341,66.85,0.4485,0.0268,0.5132,0.1618,10.1016/j.fluid.2009.01.016,1059,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,200.266,66.85,0.3359,0.042,0.3845,0.2517,10.1016/j.fluid.2009.01.016,1060,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,237.544,66.85,0.6831,0.045,0.6149,0.2368,10.1016/j.fluid.2009.01.016,1061,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,239.795,66.85,0.4237,0.0726,0.3936,0.354,10.1016/j.fluid.2009.01.016,1062,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,250.071,66.85,0.3213,0.0873,0.3005,0.4163,10.1016/j.fluid.2009.01.016,1063,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,262.147,66.85,0.3135,0.1062,0.273,0.4672,10.1016/j.fluid.2009.01.016,1064,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,309.85,66.85,0.6315,0.1198,0.4329,0.4638,10.1016/j.fluid.2009.01.016,1065,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,316.826,66.85,0.2968,0.1602,0.2133,0.5859,10.1016/j.fluid.2009.01.016,1066,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,410.059,66.85,0.5696,0.21,0.3017,0.6284,10.1016/j.fluid.2009.01.016,1067,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,419.734,66.85,0.2656,0.2586,0.1447,0.7211,10.1016/j.fluid.2009.01.016,1068,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,501.191,66.85,0.4961,0.3171,0.2165,0.7345,10.1016/j.fluid.2009.01.016,1069,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,564.571,66.85,0.4483,0.3837,0.1748,0.786,10.1016/j.fluid.2009.01.016,1070,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,538.694,66.85,0.2245,0.3863,0.0975,0.8131,10.1016/j.fluid.2009.01.016,1071,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,615.426,66.85,0.1965,0.4638,0.0744,0.858,10.1016/j.fluid.2009.01.016,1072,unmatched
"3,3-二甲基-2-丁酮",C6H12O,CC(=O)C(C)(C)C,2-甲氧基-2-甲基丙烷,C5H12O,CC(C)(C)OC,"2,2-二甲基-1-丙醇",C5H12O,CC(C)(C)CO,-1,-1,649.478,66.85,0.3744,0.4815,0.1329,0.8375,10.1016/j.fluid.2009.01.016,1073,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,5.656,80.0,0.6277,0.3677,0.2344,0.6472,10.1016/j.fluid.2012.11.026,1580,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,6.128,80.0,0.5372,0.4002,0.2011,0.5914,10.1016/j.fluid.2012.11.026,1581,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,6.0,80.0,0.4639,0.4345,0.1859,0.5705,10.1016/j.fluid.2012.11.026,1582,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,6.136,80.0,0.3566,0.4826,0.1766,0.5599,10.1016/j.fluid.2012.11.026,1583,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,6.158,80.0,0.2851,0.5292,0.1733,0.5567,10.1016/j.fluid.2012.11.026,1584,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,6.556,80.0,0.1467,0.6599,0.1637,0.5496,10.1016/j.fluid.2012.11.026,1585,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,9.398,90.0,0.5805,0.4137,0.2683,0.6126,10.1016/j.fluid.2012.11.026,1586,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,9.511,90.0,0.5098,0.4287,0.2333,0.5533,10.1016/j.fluid.2012.11.026,1587,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,9.128,90.0,0.4215,0.463,0.2176,0.5274,10.1016/j.fluid.2012.11.026,1588,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,9.113,90.0,0.2882,0.5403,0.1999,0.5177,10.1016/j.fluid.2012.11.026,1589,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,9.173,90.0,0.2274,0.5876,0.1897,0.5103,10.1016/j.fluid.2012.11.026,1590,unmatched
碳酸二乙酯,C5H10O3,CCOC(=O)OCC,水,H2O,,乙醇,C2H6O,CCO,-1,-1,8.513,90.0,0.14,0.6784,0.1788,0.4981,10.1016/j.fluid.2012.11.026,1591,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,77.8,0.5786,0.332,0.6492,0.3186,10.1016/j.fluid.2012.12.035,1636,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,82.1,0.3848,0.2222,0.5953,0.2946,10.1016/j.fluid.2012.12.035,1637,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,83.7,0.334,0.1922,0.5776,0.287,10.1016/j.fluid.2012.12.035,1638,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,103.2,0.0341,0.0685,0.1181,0.2034,10.1016/j.fluid.2012.12.035,1639,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,84.5,0.3337,0.1429,0.6141,0.2285,10.1016/j.fluid.2012.12.035,1640,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,82.7,0.421,0.1274,0.6797,0.1837,10.1016/j.fluid.2012.12.035,1641,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,81.7,0.392,0.2351,0.5969,0.3052,10.1016/j.fluid.2012.12.035,1642,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,81.3,0.3547,0.3164,0.5049,0.3954,10.1016/j.fluid.2012.12.035,1643,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,82.3,0.323,0.2921,0.4957,0.3895,10.1016/j.fluid.2012.12.035,1644,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,81.8,0.2711,0.3982,0.3977,0.5043,10.1016/j.fluid.2012.12.035,1645,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,83.0,0.2393,0.3539,0.3964,0.4948,10.1016/j.fluid.2012.12.035,1646,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,85.8,0.1829,0.2753,0.3703,0.4689,10.1016/j.fluid.2012.12.035,1647,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,87.5,0.1597,0.2419,0.3402,0.4449,10.1016/j.fluid.2012.12.035,1648,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,86.5,0.1545,0.297,0.2985,0.4974,10.1016/j.fluid.2012.12.035,1649,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,79.0,0.5137,0.296,0.6278,0.3125,10.1016/j.fluid.2012.12.035,1650,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,80.2,0.4597,0.2643,0.6069,0.3071,10.1016/j.fluid.2012.12.035,1651,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,84.1,0.95,0.0,1.0,0.0,10.1016/j.fluid.2016.06.022,2397,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,81.7,0.865,0.085,0.854,0.146,10.1016/j.fluid.2016.06.022,2398,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,80.0,0.772,0.178,0.724,0.276,10.1016/j.fluid.2016.06.022,2399,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,78.7,0.684,0.266,0.622,0.378,10.1016/j.fluid.2016.06.022,2400,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,77.9,0.596,0.354,0.535,0.465,10.1016/j.fluid.2016.06.022,2401,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,77.2,0.488,0.462,0.432,0.568,10.1016/j.fluid.2016.06.022,2402,unmatched
乙腈,C2H3N,CC#N,乙酸乙酯,C4H8O2,CCOC(=O)C,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,0,0,759.812,76.9,0.389,0.561,0.349,0.651,10.1016/j.fluid.2016.06.022,2403,unmatched
